id,project_name,job_name,workflow_name,step,labels
11045,kafka-ops/julie,Build rpm/deb packages (using maven),Nightly Builds,Publish package,['ubuntu-latest']
11048,kafka-ops/julie,Build rpm/deb packages (using maven),Nightly Builds,Publish package,['ubuntu-latest']
11100,fabricmc/fabric-loom,"run_tests (8.3.0-jdk17, net.fabricmc.loom.test.integration.MultiMcVersionTest)",Run Tests,"Run gradle printActionsTestName --name=""net.fabricmc.loom.test.integration.MultiMcVersionTest"" test --tests net.fabricmc.loom.test.integration.MultiMcVersionTest --stacktrace --warning-mode fail",['ubuntu-22.04']
11176,auties00/cobalt,build,Java CI with Maven,Build with Maven,['ubuntu-latest']
11179,auties00/cobalt,build,Java CI with Maven,Build with Maven,['ubuntu-latest']
11232,mapstruct/mapstruct,Mac OS,CI,Test,['macos-latest']
11273,vazkiimods/quark,build,Java CI,Build with Gradle,['ubuntu-latest']
11330,indy256/codelibrary,build-ubuntu-clang,C++ CI,compile,['ubuntu-latest']
11348,yegor256/cactoos,sonar,sonar,Run actions/setup-java@v3,['ubuntu-22.04']
11359,apache/incubator-hugegraph,"build (cassandra, 11)",hugegraph-ci,Run core test,['ubuntu-20.04']
11394,jetbrains/jetbrainsruntime,windows-aarch64 / build (release),OpenJDK GHA Sanity Checks,Install toolchain and dependencies,['windows-2019']
11407,jetbrains/jetbrainsruntime,linux-x64-hs-minimal / build (debug),OpenJDK GHA Sanity Checks,Build,['ubuntu-22.04']
11416,jetbrains/jetbrainsruntime,windows-x64 / build (release),OpenJDK GHA Sanity Checks,Install toolchain and dependencies,['windows-2019']
11449,jetbrains/jetbrainsruntime,linux-x64-hs-minimal / build (debug),OpenJDK GHA Sanity Checks,Install toolchain and dependencies,['ubuntu-20.04']
11456,jetbrains/jetbrainsruntime,linux-x64 / build (release),OpenJDK GHA Sanity Checks,Install toolchain and dependencies,['ubuntu-20.04']
11462,jetbrains/jetbrainsruntime,linux-x64-hs-zero / build (debug),OpenJDK GHA Sanity Checks,Install toolchain and dependencies,['ubuntu-20.04']
11481,jetbrains/jetbrainsruntime,windows-aarch64 / build (debug),OpenJDK GHA Sanity Checks,Install toolchain and dependencies,['windows-2019']
11629,mehvahdjukaar/supplementaries,build,pages build and deployment,Build with Jekyll,['ubuntu-latest']
11707,wolpi/prim-ftpd,build,Java CI with Gradle,Build with Gradle,['ubuntu-latest']
11755,skjolber/3d-bin-container-packing,build (ubuntu-latest),SonarCloud  QA,Build with Maven,['ubuntu-latest']
11768,alexprogrammerde/serverwrecker,build,Java CI with Gradle,Build with Gradle,['ubuntu-latest']
11770,alexprogrammerde/serverwrecker,build,Java CI with Gradle,Build with Gradle,['ubuntu-latest']
11776,alexprogrammerde/serverwrecker,build,Java CI with Gradle,Build with Gradle,['ubuntu-latest']
11796,debezium/debezium,Spanner - Java 20,Java Quality Outreach,Setup OpenJDK,['ubuntu-latest']
11816,debezium/debezium,Testing - Java 20,Java Quality Outreach,Setup OpenJDK,['ubuntu-latest']
11841,mingyang66/spring-parent,Analyze (java),CodeQL,Autobuild,['ubuntu-latest']
11887,resteasy/resteasy-examples,"build (ubuntu-latest, 11)",Java CI with Maven,Build with Maven - ubuntu-latest - JDK 11,['ubuntu-latest']
11910,apache/cassandra-java-driver,scan-repo,Dependency and License Scan,Scan for dependencies and licenses,['ubuntu-latest']
11924,apache/cassandra-java-driver,scan-repo,Dependency and License Scan,Scan for dependencies and licenses,['ubuntu-latest']
11929,apache/cassandra-java-driver,scan-repo,Dependency and License Scan,Scan for dependencies and licenses,['ubuntu-latest']
12015,expediagroup/waggle-dance,"CodeQL-Build (3.9.2, 8)",Code scanning - action,Maven Verify,['ubuntu-22.04']
12052,apache/rocketmq-clients,calculate-coverage,Rust Coverage,Upload to codecov.io,['ubuntu-latest']
12085,kosmx/emotes,Analyze (java),CodeQL,Autobuild,['ubuntu-latest']
12165,dekorateio/dekorate,"Tekton Build (v1.22.2, v0.47.0)",Integration Tests (docker.io),Install Tekton,['ubuntu-latest']
12250,urlaubsverwaltung/urlaubsverwaltung,build and analyse,Build,Build,['ubuntu-22.04']
12263,apache/dubbo-admin,build (11),CI,Build with Maven,['ubuntu-latest']
12265,apache/dubbo-admin,build,Integration,Run integration test,['ubuntu-latest']
12282,apache/dubbo-admin,build (8),CI,Build with Maven,['ubuntu-latest']
12286,apache/dubbo-admin,build (8),CI,Build with Maven,['ubuntu-latest']
12341,bytedeco/javacpp-presets,linux-x86_64,ffmpeg,Run bytedeco/javacpp-presets/.github/actions/deploy-ubuntu@actions,['ubuntu-20.04']
12345,bytedeco/javacpp-presets,macosx-arm64 (-gpl),ffmpeg,Run bytedeco/javacpp-presets/.github/actions/deploy-macosx@actions,['macos-11']
12356,bytedeco/javacpp-presets,macosx-x86_64 (-gpl),ffmpeg,Run bytedeco/javacpp-presets/.github/actions/deploy-macosx@actions,['macos-11']
12367,bytedeco/javacpp-presets,macosx-x86_64,arpack-ng,Run bytedeco/javacpp-presets/.github/actions/deploy-macosx@actions,['macos-11']
12438,eclipse-ee4j/mojarra,"build (17, ubuntu-latest)",build,Build with Maven,['ubuntu-latest']
12557,apache/dubbo-samples,"Integration Test (Java11, Job2)",Dubbo 3.2,Run tests,['ubuntu-latest']
12571,apache/dubbo-samples,"Integration Test (Java21, Job1)",Dubbo 3.2,Run tests,['ubuntu-latest']
12590,apache/dubbo-samples,Test Result (Java17),Dubbo 3.2,Merge test result - java 17,['ubuntu-latest']
12642,appium/appium-uiautomator2-server,"test (5.1, 22, default)",Functional Tests,e2e_api22,['macos-latest']
12732,intoolswetrust/jd-cli,build,Java CI,Build with Maven,['ubuntu-latest']
12749,rnmapbox/maps,Android/Mapbox11 / build_example,CI,Run ./gradlew assemble,['ubuntu-latest']
12753,rnmapbox/maps,Android/Mapbox11 / build_example,CI,Run ./gradlew assemble,['ubuntu-latest']
12799,qoomon/maven-git-versioning-extension,build,Build,Test with Maven,['ubuntu-latest']
12805,pxb1988/dex2jar,build,Java CI with Gradle,Build dex-tools with Gradle,['ubuntu-latest']
12831,peergos/peergos,build (windows-latest),Java CI,Run tests,['windows-latest']
12895,openmf/mobile-wallet,PMD,Mobile-Wallet CI[Master/Dev],PMD Check[Core],['ubuntu-latest']
12903,openmf/mobile-wallet,StaticAnalysis,Mobile-Wallet CI[Master/Dev],Static Analysis[Core],['ubuntu-latest']
12959,openmf/mobile-wallet,StaticAnalysis,Mobile-Wallet CI[Master/Dev],Static Analysis[Core],['ubuntu-latest']
12962,openmf/mobile-wallet,Build APK,Mobile-Wallet CI[Master/Dev],Build with Gradle,['ubuntu-latest']
12973,openmf/mobile-wallet,StaticAnalysis,Mobile-Wallet CI[Master/Dev],Static Analysis[Core],['ubuntu-latest']
13057,netty/netty,linux-riscv64-verify-native,Build PR,Run commands,['ubuntu-20.04']
13061,netty/netty,Analyze (cpp),CodeQL,Compile project,['ubuntu-latest']
13067,mirkosertic/bytecoder,build_wasm_backend (11),Pull Request,Run mvn --no-transfer-progress --batch-mode verify -P wasmtestsonly,['ubuntu-20.04']
13080,mirkosertic/bytecoder,build_jvm (11),Pull Request,Run mvn --no-transfer-progress --batch-mode verify -P jvmtestsonly,['ubuntu-20.04']
13091,mirkosertic/bytecoder,build_wasm_backend (8),Pull Request,Run mvn --no-transfer-progress --batch-mode verify -P wasmtestsonly,['ubuntu-20.04']
13111,google/j2cl,"build (samples, ubuntu-latest)",CI,Run samples tests,['ubuntu-latest']
13173,uyuni-project/uyuni,test-uyuni (2) / test-uyuni,acceptance-tests-secondary-parallel,run_cucumber_core,['ubuntu-22.04']
13189,apache/curator,Required,CI,Guardian,['ubuntu-latest']
13215,tugraph-family/tugraph-analytics,build,Java CI with Maven,Build and Test,['ubuntu-latest']
13221,theokanning/openai-java,compile,Compile,Compile,['ubuntu-latest']
